OBJECTID,FIELD_LOCATION,FIELD_LATITUDE,FIELD_LONGITUDE,FIELD_AGENCY_FIRE_ID,FIELD_FIRE_SIZE,FIELD_AGENCY_FIRE_CAUSE,FIELD_SYSTEM_FIRE_CAUSE,FIELD_SITUATION_REPORT_DATE,FIELD_STATUS_DATE,FIELD_AGENCY_DATA_TIMEZONE,FIELD_STAGE_OF_CONTROL_STATUS,FIELD_PERCENT_CONTAINED,FIELD_RESPONSE_TYPE,FIELD_SEVERITY_NEAREST_DSR,FIELD_FIRE_WAS_PERSCRIBED,FIELD_AGENCY_PREPARE_LEVEL,FIELD_FIRE_TYPE_ICS,FIELD_AGENCY_CODE,REFRESHED_DATETIME,geometry_longitude,geometry_latitude,source_feature_id,geometry_type,snapshot_downloaded_at_utc,source_url,fire_id,agency_code,stage_of_control_code,stage_of_control_label,stage_of_control_label_provisional,stage_of_control_mapping_status,stage_of_control_display_label,is_active_fire,agency_fire_cause_code,system_fire_cause_code,response_type_code,response_type_label,fire_size_hectares,latitude,longitude,situation_report_datetime_utc,status_datetime_utc,refreshed_datetime_utc,cause_interpretation_provisional,cause_mapping_status,FIELD_LOCATION_is_minus_one,FIELD_PERCENT_CONTAINED_is_minus_one,FIELD_SEVERITY_NEAREST_DSR_is_minus_one,FIELD_AGENCY_PREPARE_LEVEL_is_minus_one,FIELD_FIRE_TYPE_ICS_is_minus_one
338269137,-1,52.465500000000006,-91.02080000000001,SLK_FIRE_094,0.5,LTG,L,1784072400000,1784760000000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-91.02080837270846,52.46550913656584,338269137,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SLK_FIRE_094,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,0.5,52.465500000000006,-91.02080000000001,2026-07-14 23:40:00+00:00,2026-07-22 22:40:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269153,-1,52.2744,-91.0997,SLK_FIRE_093,7.0,LTG,L,1784072040000,1784829480000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-91.0997083572359,52.27440910839211,338269153,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,SLK_FIRE_093,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,7.0,52.2744,-91.0997,2026-07-14 23:34:00+00:00,2026-07-23 17:58:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269185,-1,50.448,-86.5274,NIP_FIRE_053,2.0,LTG,L,1784070660000,1784502000000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-86.52740652907414,50.44800922247743,338269185,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,NIP_FIRE_053,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,2.0,50.448,-86.5274,2026-07-14 23:11:00+00:00,2026-07-19 23:00:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269201,-1,50.4924,-86.38600000000001,NIP_FIRE_052,200.0,LTG,L,1784070420000,1784502000000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-86.38600649023053,50.492409237958924,338269201,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,NIP_FIRE_052,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,200.0,50.4924,-86.38600000000001,2026-07-14 23:07:00+00:00,2026-07-19 23:00:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269217,-1,50.502,-86.52680000000001,NIP_FIRE_051,10.0,LTG,L,1784069220000,1784502000000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-86.52680653794457,50.502009229605655,338269217,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,NIP_FIRE_051,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,10.0,50.502,-86.52680000000001,2026-07-14 22:47:00+00:00,2026-07-19 23:00:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269281,-1,51.877,-81.4582,COC_FIRE_040,400.0,LTG,L,1784066100000,1784066220000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-81.45820504995001,51.877009736343545,338269281,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,COC_FIRE_040,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,400.0,51.877,-81.4582,2026-07-14 21:55:00+00:00,2026-07-14 21:57:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269297,-1,51.355700000000006,-87.3927,NIP_FIRE_048,1237.0,LTG,L,1784065320000,1784903400000,GMT,BM,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-87.39270697138203,51.355709278590936,338269297,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,NIP_FIRE_048,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,FUL,Full Response,1237.0,51.355700000000006,-87.3927,2026-07-14 21:42:00+00:00,2026-07-24 14:30:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269329,-1,51.349700000000006,-87.2821,NIP_FIRE_047,444.40000000000003,LTG,L,1784063820000,1784903400000,GMT,BM,-1,FUL,-1,0,-1,-1,ON     ,1785452863000,-87.28210693391732,51.34970928572068,338269329,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,NIP_FIRE_047,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,FUL,Full Response,444.40000000000003,51.349700000000006,-87.2821,2026-07-14 21:17:00+00:00,2026-07-24 14:30:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269345,-1,52.620400000000004,-83.5313,COC_FIRE_039,280.0,LTG,L,1784063100000,1784063400000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-83.5313058942277,52.620409701067004,338269345,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,COC_FIRE_039,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,280.0,52.620400000000004,-83.5313,2026-07-14 21:05:00+00:00,2026-07-14 21:10:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
338269361,-1,52.589600000000004,-82.2437,COC_FIRE_038,100.0,LTG,L,1784060940000,1784062080000,GMT,BM,-1,MON,-1,0,-1,-1,ON     ,1785452863000,-82.24370544025862,52.58960977965466,338269361,Point,2026-07-31T04:59:30.982399+00:00,https://ws.lioservices.lrc.gov.on.ca/arcgis1061a/rest/services/MNRF/Ontario_Fires_Map/MapServer/0/query,COC_FIRE_038,ON,BM,,"Being Monitored (provisional, unconfirmed code)",Provisional,"Being Monitored (provisional, unconfirmed code)",True,LTG,L,MON,Monitored Response,100.0,52.589600000000004,-82.2437,2026-07-14 20:29:00+00:00,2026-07-14 20:48:00+00:00,2026-07-30 23:07:43+00:00,Lightning,High-confidence provisional,True,True,True,True,True
